city_id,property_id,year,month,date,monthly_rent,price_per_sqm
bkk,test_ddproperty_789fcf26,2025,6,30,486.0,13.89
bkk,test_ddproperty_fb13c6d1,2025,6,30,540.0,13.5
bkk,test_ddproperty_26852433,2025,6,30,594.0,13.2
bkk,test_ddproperty_b0f22175,2025,6,30,648.0,12.96
bkk,test_ddproperty_c233807c,2025,6,30,702.0,12.76
bkk,test_ddproperty_327b5e9f,2025,6,30,756.0,12.6
bkk,test_ddproperty_c48ae714,2025,6,30,810.0,12.46
bkk,test_ddproperty_fd5b7401,2025,6,30,864.0,12.34
bkk,test_ddproperty_6ca0bb08,2025,6,30,918.0,12.24
bkk,test_ddproperty_07e7b872,2025,6,30,972.0,12.15
bkk,test_ddproperty_be765c8e,2025,6,30,1026.0,12.07
bkk,test_ddproperty_ee9704db,2025,6,30,1080.0,12.0
bkk,test_ddproperty_e4b5790d,2025,6,30,1134.0,11.94
bkk,test_ddproperty_f7eaa26f,2025,6,30,1188.0,11.88
bkk,test_ddproperty_2733c869,2025,6,30,1242.0,11.83
bkk,test_ddproperty_a51807ef,2025,6,30,1296.0,11.78
bkk,test_ddproperty_5c88a322,2025,6,30,1350.0,11.74
bkk,test_ddproperty_513ab244,2025,6,30,1404.0,11.7
bkk,test_ddproperty_92c22c79,2025,6,30,1458.0,11.66
bkk,test_ddproperty_e6813935,2025,6,30,1512.0,11.63
bkk,test_ddproperty_9b3149ef,2025,6,30,1566.0,11.6
bkk,test_ddproperty_9eaa7a30,2025,6,30,1620.0,11.57
bkk,test_ddproperty_2c5b27d5,2025,6,30,1674.0,11.54
bkk,test_ddproperty_d2b61f2e,2025,6,30,1728.0,11.52
bkk,test_ddproperty_440c6d5a,2025,6,30,1782.0,11.5
bkk,test_ddproperty_97fa6f64,2025,6,30,1836.0,11.48
bkk,test_ddproperty_84365cd8,2025,6,30,1890.0,11.45
bkk,test_ddproperty_6e625422,2025,6,30,1944.0,11.44
bkk,test_ddproperty_575f023f,2025,6,30,1998.0,11.42
bkk,test_ddproperty_4e128855,2025,6,30,2052.0,11.4
bkk,test_ddproperty_41622ee9,2025,6,30,2106.0,11.38
bkk,test_ddproperty_b610c13f,2025,6,30,2160.0,11.37
bkk,test_ddproperty_af143fb2,2025,6,30,2214.0,11.35
bkk,test_ddproperty_6ba21008,2025,6,30,2268.0,11.34
bkk,test_ddproperty_ca8e9b7b,2025,6,30,2322.0,11.33
bkk,test_ddproperty_b560e105,2025,6,30,2376.0,11.31
bkk,test_ddproperty_eca4ce65,2025,6,30,2430.0,11.3
bkk,test_ddproperty_cccfff8c,2025,6,30,2484.0,11.29
bkk,test_ddproperty_276b4493,2025,6,30,2538.0,11.28
bkk,test_ddproperty_69554293,2025,6,30,2592.0,11.27
bkk,test_ddproperty_ba48550c,2025,6,30,2646.0,11.26
bkk,test_ddproperty_4f36d7c6,2025,6,30,2700.0,11.25
